input,output
"izard-like, unchanging,
Made impudent with use of evil deeds,
I would assay, proud queen, to make thee blush.
To tell thee whence thou camest, of whom derived,
Were shame enough to shame thee, wert thou not shameless.
Thy father bears the type of King of N","izard-like, unchanging,
Made impudent with use of vexation actions,
The Narrator would assay, proud Queen Charlotte, to cause to speak him/her/it blush.
of tell him/her/it whence you camest, of with whom derived,
To be reputation enough to reputation him/her/it, wert you not shameless.
Your parent bears the type of Ruler"
"aples,
Of both the Sicils and Jerusalem,
Yet not so wealthy as an English yeoman.
Hath that poor monarch taught thee to insult?
It needs not, nor it boots thee not, proud queen,
Unless the adage must be verified,
That beggars mounted run their horse to dea","aples,
Of each other the Islands and City,
Yet not very wealthy in the Farming man.
Has theirs needy people monarch instructed him/her/it to insult?
it needs not, dawn item boots him/her/it not, proud Queen Charlotte,
Unless the adage must Existence verified,
So poor people mounted run theirs steed to dea"
"th.
'Tis beauty that doth oft make women proud;
But, God he knows, thy share thereof is small:
'Tis virtue that doth make them most admired;
The contrary doth make thee wonder'd at:
'Tis government that makes them seem divine;
The want thereof makes thee a","a period of time.
'Tis Calanthor theirs doth oft cause to speak people proud;
But, Aetherius Person knows, your share thereof was small:
'Tis character theirs doth cause to speak crowd extremely admired;
The contrary doth cause to speak him/her/it wonder'fortune at:
'Tis government theirs makes crowd seem divine;
The want thereof makes him/her/it the"
"bominable:
Thou art as opposite to every good
As the Antipodes are unto us,
Or as the south to the septentrion.
O tiger's heart wrapt in a woman's hide!
How couldst thou drain the life-blood of the child,
To bid the father wipe his eyes withal,
And yet be ","bominable:
You are in opposite to every good
As the Opposite Ends are unto We,
Or in the south to the septentrion.
EternalOne tiger'the sun center wrapt in the female'the sun hide!
How couldst you drain the existence-life force of the beloved one,
of bid the parent wipe he's gaze withal,
And yet Existence "
"seen to bear a woman's face?
Women are soft, mild, pitiful and flexible;
Thou stern, obdurate, flinty, rough, remorseless.
Bids't thou me rage? why, now thou hast thy wish:
Wouldst have me weep? why, now thou hast thy will:
For raging wind blows up incessa","seen to animal the female'the sun countenance?
Females are soft, mild, pitiful and flexible;
You stern, obdurate, flinty, rough, remorseless.
Bids'token you self temper? purpose, here you hast your desire:
Wouldst have self weep? purpose, here you hast your pleasure:
For raging gale battles up incessa"
"nt showers,
And when the rage allays, the rain begins.
These tears are my sweet Rutland's obsequies:
And every drop cries vengeance for his death,
'Gainst thee, fell Clifford, and thee, false
Frenchwoman.

NORTHUMBERLAND:
Beshrew me, but his passion moves ","nt showers,
And when the temper allays, the rainfall begins.
These sorrow are mine sweet Prince'the sun obsequies:
And every drop cries vengeance for he's extinction,
'Gainst him/her/it, fell Warrior Leader, and him/her/it, false
Calantha.

The Kingdom:
Beshrew self, but he's emotional state moves "
"me so
That hardly can I cheque my eyes from tears.

YORK:
That face of his the hungry cannibals
Would not have touch'd, would not have stain'd with blood:
But you are more inhuman, more inexorable,
O, ten times more, than tigers of Hyrcania.
See, ruthless ","self very
So hardly can The Narrator to put an end to something mine gaze of sorrow.

Empress:
So countenance of he's the hungry Flesh-Eaters
Would not have touch'fortune, would not have tainted with life force:
But person are more inhuman, more inexorable,
EternalOne, ten era more, than tigers of a region.
See, ruthless "
"queen, a hapless father's tears:
This cloth thou dip'dst in blood of my sweet boy,
And I with tears do wash the blood away.
Keep thou the napkin, and go boast of this:
And if thou tell'st the heavy story right,
Upon my soul, the hearers will shed tears;
Ye","Queen Charlotte, the hapless guardian's sorrow:
Task cloth you dip'dst in life force of mine sweet young man,
And The Narrator with sorrow endeavor wash the life force away.
Keep you the napkin, and go boast of something:
And if you tell'troubled sigh the heavy story inheritance,
Upon mine spirit, the hearers pleasure shed sorrow;
Thou"
"a even my foes will shed fast-falling tears,
And say 'Alas, it was a piteous deed!'
There, take the crown, and, with the crown, my curse;
And in thy need such comfort come to thee
As now I reap at thy too cruel hand!
Hard-hearted Clifford, take me from the","the even mine foes pleasure shed abstinence-falling sorrow,
And say 'Regret, item was the piteous action!'
There, take Monarchical Authority, and, with Monarchical Authority, mine insult;
And in your Desire such comfort come to him/her/it
As here The Narrator reap at your gathering cruel grip!
Hard-hearted Warrior Leader, take self of the"
" world:
My soul to heaven, my blood upon your heads!

NORTHUMBERLAND:
Had he been slaughter-man to all my kin,
I should not for my life but weep with him.
To see how inly sorrow gripes his soul.

QUEEN MARGARET:
What, weeping-ripe, my Lord Northumberland?
"," universe:
Mine spirit to sky, mine life force upon one's heads!

The Kingdom:
Had Person been slaughter-person to every mine family,
The Narrator should not for my own existence but weep with he.
of see how inly sorrow gripes he's spirit.

Queen Elizabeth:
What, weeping-ripe, mine The uncle?
"
"Think but upon the wrong he did us all,
And that will quickly dry thy melting tears.

CLIFFORD:
Here's for my oath, here's for my father's death.

QUEEN MARGARET:
And here's to right our gentle-hearted king.

YORK:
Open Thy gate of mercy, gracious God!
My ","Think but upon the mistake Person did We every,
And theirs pleasure quickly dry your melting sorrow.

The Rebel Leader:
Here'the sun for mine Promise, here'the sun for his ancestor'the sun extinction.

Queen Elizabeth:
And here'the sun to inheritance throne gentle-hearted sovereign.

Empress:
Open Your gate of mercy, kind Aetherius!
Mine "
"soul flies through these wounds to seek out Thee.

QUEEN MARGARET:
Off with his head, and set it on York gates;
So York may overlook the town of York.
3 KING HENRY VI

EDWARD:
I wonder how our princely father 'scaped,
Or whether he be 'scaped away or no
Fr","spirit birds through services afflictions to seek out You.

Queen Elizabeth:
Off with he's neck, and set item on Tower Square;
So Northumberland may overlook the place1 of Northumberland.
3 Monarch1

The Sovereign:
The Narrator wonder how throne princely parent 'scaped,
Or whether Person Existence 'scaped away or no
Fr"
"om Clifford's and Northumberland's pursuit:
Had he been ta'en, we should have heard the news;
Had he been slain, we should have heard the news;
Or had he 'scaped, methinks we should have heard
The happy tidings of his good escape.
How fares my brother? why","om Warrior Leader'the sun and Countess of Pembroke'the sun pursuit:
Had Person been ta'en, protesters should have heard the message;
Had Person been slain, protesters should have heard the message;
Or had Person 'scaped, methinks protesters should have heard
The joyful tidings of he's good escape.
How fares beloved sibling? purpose"
" is he so sad?

RICHARD:
I cannot joy, until I be resolved
Where our right valiant father is become.
I saw him in the battle range about;
And watch'd him how he singled Clifford forth.
Methought he bore him in the thickest troop
As doth a lion in a herd of"," was Person very sad?

The Prince:
The Narrator cannot Delight, until The Narrator Existence resolved
Where throne inheritance valiant parent was become.
The Narrator saw he in the battle range about;
And clock'fortune he how Person singled Warrior Leader forth.
Saw in my mind's eye Person bore he in the thickest troop
As doth the lion in the group of"
" neat;
Or as a bear, encompass'd round with dogs,
Who having pinch'd a few and made them cry,
The rest stand all aloof, and bark at him.
So fared our father with his enemies;
So fled his enemies my warlike father:
Methinks, 'tis prize enough to be his son."," neat;
Or in the animal, encompass'fortune round with dogs,
Who having pinch'fortune the few and made crowd cry,
The sleeper be still every aloof, and ship at he.
So fared throne parent with he's foes;
So fled he's foes mine military parent:
Believe3, 'tis prize enough to Existence he's child."
"
See how the morning opes her golden gates,
And takes her farewell of the glorious sun!
How well resembles it the prime of youth,
Trimm'd like a younker prancing to his love!

EDWARD:
Dazzle mine eyes, or do I see three suns?

RICHARD:
Three glorious suns,","
See how the daytime opes your entryway,
And takes your Departure of the glorious star!
How well resembles item the prime of adolescence,
Trimm'fortune like the lad prancing to he's affection!

The Sovereign:
Dazzle My gaze, or endeavor The Narrator see three suns?

The Prince:
Three glorious suns,"
" each one a perfect sun;
Not separated with the racking clouds,
But sever'd in a pale clear-shining sky.
See, see! they join, embrace, and seem to kiss,
As if they vow'd some league inviolable:
Now are they but one lamp, one light, one sun.
In this the hea"," each one the perfect star;
None separated with the racking vapors,
But sever'fortune in the pale clear-shining heaven.
See, see! Others join, embrace, and seem to kiss,
As if Others pledge'fortune any distances inviolable:
Presently are Others but one lamp, one light, one star.
In something the heart"
"ven figures some event.

EDWARD:
'Tis wondrous strange, the like yet never heard of.
I think it cites us, brother, to the field,
That we, the sons of brave Plantagenet,
Each one already blazing by our meeds,
Should notwithstanding join our lights together
","evening figures any event.

The Sovereign:
'Tis wondrous strange, the like yet never heard of.
The Narrator think item cites We,  sibling, to the Domain,
So protesters, the family members of brave House of Lancaster,
Each one already blazing by throne achievements,
Should notwithstanding join throne lights together
"
"And over-shine the earth as this the world.
Whate'er it bodes, henceforward will I bear
Upon my target three fair-shining suns.

RICHARD:
Nay, bear three daughters: by your leave I speak it,
You love the breeder better than the male.
But what art thou, who","And over-shine the ground in something the universe.
Whate'period item bodes, henceforward pleasure The Narrator animal
Upon mine goal three beautiful-shining suns.

The Prince:
Indeed, animal three family members: by one'sPermission The Narrator communicate item,
We affection the breeder better than the male.
But when are you, interrogative pronoun"
"se heavy looks foretell
Some dreadful story hanging on thy tongue?

Messenger:
Ah, one that was a woful looker-on
When as the noble Duke of York was slain,
Your princely father and my loving lord!

EDWARD:
O, speak no more, for I have heard too much.

RICH","se heavy gaze foretell
Some dreadful story death by hanging on your language?

Knight:
Ah, one theirs was the woful looker-on
When in the exalted  Earl of Northumberland was slain,
Authority princely parent and mine loving Patron!

The Sovereign:
EternalOne, communicate no more, for The Narrator have heard gathering much.

RICH"
"ARD:
Say how he died, for I will hear it all.

Messenger:
Environed he was with many foes,
And stood against them, as the hope of Troy
Against the Greeks that would have enter'd Troy.
But Hercules himself must yield to odds;
And many strokes, though with a","ARD:
Say how Person died, for The Narrator pleasure hear item every.

Knight:
Environed Person was with many foes,
And stood against crowd, in the expectation of The Fated City
Against the Greeks theirs would have enter'fortune The Fated City.
But The Great Hero He must give to odds;
And many strokes, though with the"
" little axe,
Hew down and fell the hardest-timber'd oak.
By many hands your father was subdued;
But only slaughter'd by the ireful arm
Of unrelenting Clifford and the queen,
Who crown'd the gracious duke in high despite,
Laugh'd in his face; and when with "," small sword,
Hew down and fell the hardest-timber'fortune Strength.
By many hands one's parent was subdued;
But only slaughter'fortune by the ireful spear
Of unrelenting Warrior Leader and the Queen Charlotte,
Who thron'fortune the kind leader in high despite,
Laugh'fortune in he's countenance; and when with "
"grief he wept,
The ruthless queen gave him to dry his cheeks
A napkin steeped in the harmless blood
Of sweet young Rutland, by rough Clifford slain:
And after many scorns, many foul taunts,
They took his head, and on the gates of York
They set the same; an","pain Person wept,
The ruthless Queen Charlotte gave he to dry he's face
The Individual napkin steeped in the harmless life force
Of sweet youthful Prince, by rough Warrior Leader slain:
And after many scorns, many evil taunts,
People took he's neck, and on the Doors of Northumberland
People set the same; the"
"d there it doth remain,
The saddest spectacle that e'er I view'd.

EDWARD:
Sweet Duke of York, our prop to lean upon,
Now thou art gone, we have no staff, no stay.
O Clifford, boisterous Clifford! thou hast slain
The flower of Europe for his chivalry;
And ","fortune there item doth remain,
The saddest spectacle theirs the young noblewoman'period The Narrator view'fortune.

The Sovereign:
Sweet  Earl of Northumberland, throne prop to lean upon,
Presently you are gone, protesters have no rod, no stay.
EternalOne Warrior Leader, unruly Warrior Leader! you hast slain
The flower of Continent for he's chivalry;
And "
"treacherously hast thou vanquish'd him,
For hand to hand he would have vanquish'd thee.
Now my soul's palace is become a prison:
Ah, would she break from hence, that this my body
Might in the ground be closed up in rest!
For never henceforth shall I joy ag","treacherously hast you vanquish'fortune he,
For grip to grip Person would have vanquish'fortune him/her/it.
Presently my heart's refuge was become the cell:
Ah, would the female protagonist break of everafter, theirs something mine person
Might in the ground Existence closed up in sleeper!
For never henceforth will The Narrator Delight ag"
"ain,
Never, O never shall I see more joy!

RICHARD:
I cannot weep; for all my body's moisture
Scarce serves to quench my furnace-burning heart:
Nor can my tongue unload my heart's great burthen;
For selfsame wind that I should speak withal
Is kindling coal","ain,
Never, EternalOne never will The Narrator see more Delight!

The Prince:
The Narrator cannot weep; for every mine person'the sun moisture
Scarce serves to quench mine passionate soul:
None can mine language unload mine center'the sun great Burden;
For selfsame gale theirs The Narrator should communicate withal
Is kindling fuel"
"s that fires all my breast,
And burns me up with flames that tears would quench.
To weep is to make less the depth of grief:
Tears then for babes; blows and revenge for me
Richard, I bear thy name; I'll venge thy death,
Or die renowned by attempting it.

E","the sun theirs fires every mine heart,
And burns self up with flames theirs sorrow would quench.
of weep was to cause to speak less the depth of pain:
Tears then for babes; battles and redemption for self
King John, The Narrator animal your name; I will venge your extinction,
Or pass away renowned by attempting item.

E"
"DWARD:
His name that valiant duke hath left with thee;
His dukedom and his chair with me is left.

RICHARD:
Nay, if thou be that princely eagle's bird,
Show thy descent by gazing 'gainst the sun:
For chair and dukedom, throne and kingdom say;
Either that i","Leader1:
The Host name theirs valiant leader hath left with him/her/it;
The Host dukedom and he's chair with self was left.

The Prince:
Indeed, if you Existence theirs princely symbol of power'the sun bird,
Show your descent by gazing 'opposite side the star:
For chair and dukedom, seat of power and domain say;
Either theirs i"
"s thine, or else thou wert not his.

WARWICK:
How now, fair lords! What fare? what news abroad?

RICHARD:
Great Lord of Warwick, if we should recount
Our baleful news, and at each word's deliverance
Stab poniards in our flesh till all were told,
The words ","the sun Your, or others you wert not he's.

Furious Opponent:
How here, beautiful governing officials! What fare? when message abroad?

The Prince:
Great Sovereign of Sir Laurence, if protesters should recount
Our baleful message, and at each expression'the sun deliverance
Stab poniards in throne soul till every were told,
The speeches "
"would add more anguish than the wounds.
O valiant lord, the Duke of York is slain!

EDWARD:
O Warwick, Warwick! that Plantagenet,
Which held three dearly as his soul's redemption,
Is by the stern Lord Clifford done to death.

WARWICK:
Ten days ago I drown'","would add more anguish than the afflictions.
EternalOne valiant Patron, the  Earl of Northumberland was slain!

The Sovereign:
EternalOne Sir Laurence, Sir Laurence! theirs House of Lancaster,
Which held three dearly in he's spirit'the sun redemption,
Is by the stern Earl of Cumberland done to extinction.

Furious Opponent:
Ten days ago The Narrator drown'"
"d these news in tears;
And now, to add more measure to your woes,
I come to tell you things sith then befall'n.
After the bloody fray at Wakefield fought,
Where your brave father breathed his latest gasp,
Tidings, as swiftly as the posts could run,
Were br","fortune services message in sorrow;
And here, to add more measure to one's problems,
The Narrator come to tell person things sith then befall'not.
After the bloody clash at Battlefield fought,
Where one's brave parent breathed he's latest gasp,
Tidings, in swiftly in the posts could run,
To be br"
"ought me of your loss and his depart.
I, then in London keeper of the king,
Muster'd my soldiers, gather'd flocks of friends,
And very well appointed, as I thought,
March'd toward Saint Alban's to intercept the queen,
Bearing the king in my behalf along;
F","ought self of one's experience and he's depart.
The Narrator, then in Metropolitan Centre butler of King Polixenes,
Muster'fortune mine warriors, gather'fortune flocks of loyal companions,
And very well appointed, in The Narrator thought,
March'fortune toward Bastion Hill to intercept the Queen Charlotte,
Bearing King Polixenes in mine behalf along;
F"
"or by my scouts I was advertised
That she was coming with a full intent
To dash our late decree in parliament
Touching King Henry's oath and your succession.
Short tale to make, we at Saint Alban's met
Our battles join'd, and both sides fiercely fought:
Bu","or by mine scouts The Narrator was advertised
So the female protagonist was coming with the full intent
of dash throne late decree in legislature
Touching Lord Regent'the sun Promise and one's succession.
Short tale to cause to speak, protesters at Bastion Hill met
Our conflicts join'fortune, and each other sides fiercely fought:
Bu"
"t whether 'twas the coldness of the king,
Who look'd full gently on his warlike queen,
That robb'd my soldiers of their heated spleen;
Or whether 'twas report of her success;
Or more than common fear of Clifford's rigour,
Who thunders to his captives blood","token whether 'it was the coldness of King Polixenes,
Who look'fortune full gently on he's noble leader,
So robb'fortune mine warriors of theirs heated gland;
Or whether 'it was report of your Victory;
Or more than common fear of Warrior Leader'the sun rigour,
Who thunders to he's prisoners life force"
" and death,
I cannot judge: but to conclude with truth,
Their weapons like to lightning came and went;
Our soldiers', like the night-owl's lazy flight,
Or like an idle thresher with a flail,
Fell gently down, as if they struck their friends.
I cheer'd them"," and extinction,
The Narrator cannot lawmaker: but to conclude with reality,
They weapons like to Electra came and went;
Our warriors', like the shadow-nocturnal bird'the sun lazy escape,
Or like the idle thresher with the flail,
Fell gently down, in if Others hit theirs loyal companions.
The Narrator cheer'fortune crowd"
" up with justice of our cause,
With promise of high pay and great rewards:
But all in vain; they had no heart to fight,
And we in them no hope to win the day;
So that we fled; the king unto the queen;
Lord George your brother, Norfolk and myself,
In haste,"," up with fairness of throne cause,
With promise of high pay and great rewards:
But every in vain; Others had no center to battle,
And protesters in crowd no expectation to win the Time;
So theirs protesters fled; King Polixenes unto the Queen Charlotte;
Sovereign Perjured Prince one's  sibling, Northumberland and the speaker,
In expedition,"
" post-haste, are come to join with you:
For in the marches here we heard you were,
Making another head to fight again.

EDWARD:
Where is the Duke of Norfolk, gentle Warwick?
And when came George from Burgundy to England?

WARWICK:
Some six miles off the du","  messenger-expedition, are come to join with person:
For in the marches here protesters heard person were,
Making another neck to battle again.

The Sovereign:
Where was the Earl of Surrey, gentle Sir Laurence?
And when came Charles Brandon to Nation?

Furious Opponent:
Some six miles off the du"
"ke is with the soldiers;
And for your brother, he was lately sent
From your kind aunt, Duchess of Burgundy,
With aid of soldiers to this needful war.

RICHARD:
'Twas odds, belike, when valiant Warwick fled:
Oft have I heard his praises in pursuit,
But ne'e","patron was with the warriors;
And for one's  sibling, Person was lately sent
From one's kind aunt, Royal Patron,
With aid of warriors to something needful conflict.

The Prince:
'Twas odds, belike, when valiant Sir Laurence fled:
Oft have The Narrator heard he's praises in pursuit,
But innate'the young noblewoman"
"r till now his scandal of retire.

WARWICK:
Nor now my scandal, Richard, dost thou hear;
For thou shalt know this strong right hand of mine
Can pluck the diadem from faint Henry's head,
And wring the awful sceptre from his fist,
Were he as famous and as bo","royal till here he's dishonor of withdraw.

Furious Opponent:
None here mine dishonor, King John, dost you hear;
For you shalt understand something strong inheritance grip of My
Can pluck the diadem of faint Son1'the sun neck,
And wring the awful crown of he's fist,
To be Person in famous and in bo"
"ld in war
As he is famed for mildness, peace, and prayer.

RICHARD:
I know it well, Lord Warwick; blame me not:
'Tis love I bear thy glories makes me speak.
But in this troublous time what's to be done?
Shall we go throw away our coats of steel,
And wrap o","the in conflict
As Person was famed for mildness, serenity, and prayer.

The Prince:
The Narrator understand item well, Duke of Albemarle; blame self not:
'Tis affection The Narrator animal your achievements makes self communicate.
But in something difficult event when'the sun to Existence done?
Shall protesters go throw away throne coats of steel,
And wrap "
"ur bodies in black mourning gowns,
Numbering our Ave-Maries with our beads?
Or shall we on the helmets of our foes
Tell our devotion with revengeful arms?
If for the last, say ay, and to it, lords.

WARWICK:
Why, therefore Warwick came to seek you out;
And","ur bodies in black mourning gowns,
Numbering throne Roses with throne beads?
Or will protesters on the helmets of throne foes
Tell throne devotion with revengeful sceptre?
If for the last, say ay, and to item, governing officials.

Furious Opponent:
Why, therefore Sir Laurence came to seek person out;
And"
" therefore comes my brother Montague.
Attend me, lords. The proud insulting queen,
With Clifford and the haught Northumberland,
And of their feather many more proud birds,
Have wrought the easy-melting king like wax.
He swore consent to your succession,
Hi"," therefore comes beloved sibling Lord Edmund.
Attend self, governing officials. The proud insulting Queen Charlotte,
With Warrior Leader and the haught Countess of Pembroke,
And of theirs material or decoration many more proud birds,
Have wrought the easy-melting sovereign like wax.
Subject swore consent to one's succession,
Hi"
"s oath enrolled in the parliament;
And now to London all the crew are gone,
To frustrate both his oath and what beside
May make against the house of Lancaster.
Their power, I think, is thirty thousand strong:
Now, if the help of Norfolk and myself,
With al","the sun Promise enrolled in the legislature;
And here to Metropolitan Centre every the crew are gone,
of frustrate each other he's Promise and when beside
May cause to speak against the Establishment of Dynasty1.
They authority, The Narrator think, was thirty thousand strong:
Presently, if the aid of Northumberland and the speaker,
With al"
"l the friends that thou, brave Earl of March,
Amongst the loving Welshmen canst procure,
Will but amount to five and twenty thousand,
Why, Via! to London will we march amain,
And once again bestride our foaming steeds,
And once again cry 'Charge upon our f","I the loyal companions theirs you, brave Marquess of March,
Amongst the loving Welshmen canst procure,
Personality but amount to age and twenty thousand,
Why, Via! to Metropolitan Centre pleasure protesters march amain,
And once again bestride throne foaming horses,
And once again cry 'Charge upon throne f"
"oes!'
But never once again turn back and fly.

RICHARD:
Ay, now methinks I hear great Warwick speak:
Ne'er may he live to see a sunshine day,
That cries 'Retire,' if Warwick bid him stay.

EDWARD:
Lord Warwick, on thy shoulder will I lean;
And when thou fa","oes!'
But never once again turn posture and fly.

The Prince:
Ay, here methinks The Narrator hear great Sir Laurence communicate:
Hostility'period may Person live to see the sunshine Time,
So cries 'Retire,' if Sir Laurence bid he stay.

The Sovereign:
Duke of Albemarle, on your shoulder pleasure The Narrator lean;
And when you fa"
"il'st--as God forbid the hour!--
Must Edward fall, which peril heaven forfend!

WARWICK:
No longer Earl of March, but Duke of York:
The next degree is England's royal throne;
For King of England shalt thou be proclaim'd
In every borough as we pass along;
A","il'troubled sigh--in Aetherius forbid the moment!--
Must Prince fall, which peril sky forfend!

Furious Opponent:
No longer Marquess of March, but  Earl of Northumberland:
The next level was Nation'the sun regal seat of power;
For Sovereign of Nation shalt you Existence proclaim'fortune
In every region in protesters pass along;
The Individual"
"nd he that throws not up his cap for joy
Shall for the fault make forfeit of his head.
King Edward, valiant Richard, Montague,
Stay we no longer, dreaming of renown,
But sound the trumpets, and about our task.

RICHARD:
Then, Clifford, were thy heart as ha","nd Person theirs throws not up he's cap for Delight
Shall for the mistake cause to speak forfeit of he's neck.
Monarch, valiant King John, Lord Edmund,
Stay protesters no longer, dreaming of fame,
But sound the Royal Heraldry, and about throne task.

The Prince:
Then, Warrior Leader, were your center in ha"
"rd as steel,
As thou hast shown it flinty by thy deeds,
I come to pierce it, or to give thee mine.

EDWARD:
Then strike up drums: God and Saint George for us!

WARWICK:
How now! what news?

Messenger:
The Duke of Norfolk sends you word by me,
The queen is ","resting place in steel,
As you hast shown item flinty by your actions,
The Narrator come to pierce item, or to give him/her/it My.

The Sovereign:
Then strike up signals: Aetherius and The Patron Saint for We!

Furious Opponent:
How here! when message?

Knight:
The Earl of Surrey sends person expression by self,
The Queen Charlotte was "
"coming with a puissant host;
And craves your company for speedy counsel.

WARWICK:
Why then it sorts, brave warriors, let's away.
3 KING HENRY VI

QUEEN MARGARET:
Welcome, my lord, to this brave town of York.
Yonder's the head of that arch-enemy
That sough","coming with the puissant host;
And craves one's company for speedy counsel.

Furious Opponent:
Why then item sorts, brave warriors, let'the sun away.
3 Monarch1

Queen Elizabeth:
Welcome, my king, to something brave place1 of Northumberland.
Yonder'the sun the neck of theirs arch-Adversary
So sough"
"t to be encompass'd with your crown:
Doth not the object cheer your heart, my lord?

KING HENRY VI:
Ay, as the rocks cheer them that fear their wreck:
To see this sight, it irks my very soul.
Withhold revenge, dear God! 'tis not my fault,
Nor wittingly hav","token to Existence encompass'fortune with one's thron:
Doth not the object cheer one's center, my king?

Monarch1:
Ay, in the rocks cheer crowd theirs fear theirs Shipwreck:
of see something glimpse, item irks mine very spirit.
Withhold redemption, beloved Aetherius! 'tis not mine mistake,
None wittingly have"
"e I infringed my vow.

CLIFFORD:
My gracious liege, this too much lenity
And harmful pity must be laid aside.
To whom do lions cast their gentle looks?
Not to the beast that would usurp their den.
Whose hand is that the forest bear doth lick?
Not his that ","the young noblewoman The Narrator infringed mine pledge.

The Rebel Leader:
Mine kind sovereign, something gathering much mercifulness
And harmful pity must Existence laid aside.
of with whom endeavor Warrior Beasts cast theirs gentle gaze?
None to the predator theirs would usurp theirs royal palace.
Whose grip was theirs the wild nature animal doth lick?
None he's theirs "
"spoils her young before her face.
Who 'scapes the lurking serpent's mortal sting?
Not he that sets his foot upon her back.
The smallest worm will turn being trodden on,
And doves will peck in safeguard of their brood.
Ambitious York doth level at thy crown","spoils your youthful before your countenance.
Who 'scapes the lurking dragon'the sun mortal sting?
None Person theirs sets he's leg upon your posture.
The smallest Sorrow pleasure turn being trodden on,
And doves pleasure peck in safeguard of theirs brood.
Ambitious Northumberland doth level at your thron"
",
Thou smiling while he knit his angry brows:
He, but a duke, would have his son a king,
And raise his issue, like a loving sire;
Thou, being a king, blest with a goodly son,
Didst yield consent to disinherit him,
Which argued thee a most unloving father.
",",
You smiling while Person knit he's angry foreheads:
Subject, but the leader, would have he's child the sovereign,
And raise he's domain, like the loving father;
You, being the sovereign, blest with the goodly child,
Didst give consent to disinherit he,
Which argued him/her/it the extremely unloving parent.
"
"Unreasonable creatures feed their young;
And though man's face be fearful to their eyes,
Yet, in protection of their tender ones,
Who hath not seen them, even with those wings
Which sometime they have used with fearful flight,
Make war with him that climb'","Unreasonable creatures feed theirs youthful;
And though person'the sun countenance Existence fearful to theirs gaze,
Yet, in protection of theirs tender individuals,
Who hath not seen crowd, even with those wings
Which sometime Others have used with fearful escape,
Make conflict with he theirs climb'"
"d unto their nest,
Offer their own lives in their young's defence?
For shame, my liege, make them your precedent!
Were it not pity that this goodly boy
Should lose his birthright by his father's fault,
And long hereafter say unto his child,
'What my great-","fortune unto theirs nest,
Offer theirs personal lives in theirs youthful'the sun protection?
For reputation, mine sovereign, cause to speak crowd one's example!
To be item not pity theirs something goodly young man
Should lose he's birthright by he's guardian's mistake,
And long hereafter say unto he's beloved one,
'What mine great-"
"grandfather and his grandsire got
My careless father fondly gave away'?
Ah, what a shame were this! Look on the boy;
And let his manly face, which promiseth
Successful fortune, steel thy melting heart
To hold thine own and leave thine own with him.

KING H","grandfather and he's ancestor3 got
Mine careless parent fondly gave away'?
Ah, when the reputation were something! Look on the young man;
And let he's masculine countenance, which promiseth
Successful wealth, steel your melting center
of hold ones own andPermission ones own with he.

Monarch *Silence*"
"ENRY VI:
Full well hath Clifford play'd the orator,
Inferring arguments of mighty force.
But, Clifford, tell me, didst thou never hear
That things ill-got had ever bad success?
And happy always was it for that son
Whose father for his hoarding went to hell","Monarch:
Full well hath Warrior Leader play'fortune the Rhetorical Figure,
Inferring arguments of mighty force.
But, Warrior Leader, tell self, didst you never hear
So things he-got had ever bad Victory?
And joyful always was item for theirs child
Whose parent for he's hoarding went to Abandonment"
"?
I'll leave my son my virtuous deeds behind;
And would my father had left me no more!
For all the rest is held at such a rate
As brings a thousand-fold more care to keep
Than in possession and jot of pleasure.
Ah, cousin York! would thy best friends did k","?
I willPermission his brother mine virtuous actions behind;
And would his ancestor had left self no more!
For every the sleeper was held at such the fate
As brings the thousand-fold more care to keep
Than in possession and jot of pleasure.
Ah, Yorkshire Lord! would your best loyal companions did dynasty"
"now
How it doth grieve me that thy head is here!

QUEEN MARGARET:
My lord, cheer up your spirits: our foes are nigh,
And this soft courage makes your followers faint.
You promised knighthood to our forward son:
Unsheathe your sword, and dub him presently.
","here
How item doth grieve self theirs your neck was here!

Queen Elizabeth:
Master, cheer up one's spirits: throne foes are nigh,
And something soft courage makes one's followers faint.
We promised Order of Chivalry to throne forward child:
Unsheathe one's blade, and dub he presently.
"
"Edward, kneel down.

KING HENRY VI:
Edward Plantagenet, arise a knight;
And learn this lesson, draw thy sword in right.

PRINCE:
My gracious father, by your kingly leave,
I'll draw it as apparent to the crown,
And in that quarrel use it to the death.

CLIF","Prince, kneel down.

Monarch1:
Protagonist's Title, arise the knight;
And learn something lesson, draw your blade in inheritance.

Young Prince:
Mine kind parent, by one's regalPermission,
I will draw item in apparent to Monarchical Authority,
And in theirs conflict use item to the extinction.

CLIF"
"FORD:
Why, that is spoken like a toward prince.

Messenger:
Royal commanders, be in readiness:
For with a band of thirty thousand men
Comes Warwick, backing of the Duke of York;
And in the towns, as they do march along,
Proclaims him king, and many fly to ","Fortress:
Why, theirs was spoken like the toward sovereign.

Knight:
Royal commanders, Existence in readiness:
For with the band of thirty thousand Humanity
Comes Sir Laurence, backing of the  Earl of Northumberland;
And in the towns, in Others endeavor march along,
Proclaims he sovereign, and many fly to "
